,pl_name,sy_snum,hostname,st_spectype
1889,K2-95 b,1,K2-95,M3.0
1891,K2-98 b,1,K2-98,F8 V
1892,K2-99 b,1,K2-99,G0 IV
1895,KELT-10 b,1,KELT-10,G0 V
1898,KELT-14 b,1,KELT-14,G4
1900,KELT-16 b,2,KELT-16,F7 V
1901,KELT-17 b,1,KELT-17,A
1902,KELT-18 b,2,KELT-18,F4 V
1903,KELT-19 A b,2,KELT-19 A,A8 V
1905,KELT-20 b,1,KELT-20,A2 V
1906,KELT-21 b,1,KELT-21,A8 V
1907,KELT-23 A b,2,KELT-23 A,G2 V
1908,KELT-24 b,2,KELT-24,F7
1910,KELT-4 A b,3,KELT-4 A,F
1911,KELT-6 b,1,KELT-6,F8
1913,KELT-7 b,1,KELT-7,F
1914,KELT-8 b,1,KELT-8,G2 V
1915,KELT-9 b,2,KELT-9,B9.5-A0
1922,KIC 7917485 b,1,KIC 7917485,A
1930,KMT-2016-BLG-1337L b,2,KMT-2016-BLG-1337L,M
1962,KMT-2018-BLG-1990L b,1,KMT-2018-BLG-1990L,M
1985,KMT-2020-BLG-0414L b,1,KMT-2020-BLG-0414L,WD
1986,KMT-2020-BLG-0414L c,1,KMT-2020-BLG-0414L,WD
1998,KMT-2021-BLG-0912L b,1,KMT-2021-BLG-0912L,K
1999,KMT-2021-BLG-1077L b,1,KMT-2021-BLG-1077L,M V
2000,KMT-2021-BLG-1077L c,1,KMT-2021-BLG-1077L,M V
2026,KMT-2023-BLG-0119L b,1,KMT-2023-BLG-0119L,K2.5 V
2039,KMT-2023-BLG-1896L b,1,KMT-2023-BLG-1896L,K6 V
2043,KMT-2024-BLG-0404L b,1,KMT-2024-BLG-0404L,M
2044,KMT-2024-BLG-0404L c,1,KMT-2024-BLG-0404L,M
2047,KMT-2024-BLG-1209L b,1,KMT-2024-BLG-1209L,K3 V
2056,KMT-2025-BLG-1616L b,1,KMT-2025-BLG-1616L,M V
2057,KOBE-1 b,1,KOBE-1,K7 V
2058,KOBE-1 c,1,KOBE-1,K7 V
2060,KOI-1257 b,2,KOI-1257,G5 V
2062,KOI-134 b,1,KOI-134,F9V
2063,KOI-134 c,1,KOI-134,F9V
2086,KOI-4978 b,1,KOI-4978,G
2088,KOI-7913 b,2,KOI-7913 A,K6 V
2095,KOINTREAU-1 b,1,XEST 17-036,M4
2096,KOINTREAU-3 b,1,ISO-Oph 96,K6-M1
2097,KOINTREAU-4 b,1,2MASS J16262785-2625152,M4.5
2098,KPS-1 b,1,KPS-1,K1 V
2117,Kepler-101 b,1,Kepler-101,G3 IV
2118,Kepler-101 c,1,Kepler-101,G3 IV
2145,Kepler-103 b,1,Kepler-103,G2
2146,Kepler-103 c,1,Kepler-103,G2
2304,Kepler-114 b,1,Kepler-114,M0 V
2305,Kepler-114 c,1,Kepler-114,M0 V
2306,Kepler-114 d,1,Kepler-114,M0 V
2345,Kepler-117 b,1,Kepler-117,F8 V
2346,Kepler-117 c,1,Kepler-117,F8 V
2383,Kepler-120 b,1,Kepler-120,M0 V
2384,Kepler-120 c,1,Kepler-120,M0 V
2448,Kepler-125 b,1,Kepler-125,M1 V
2501,Kepler-129 b,1,Kepler-129,G4 V
2502,Kepler-129 c,1,Kepler-129,G4 V
2503,Kepler-129 d,1,Kepler-129,G4 V
2626,Kepler-138 c,1,Kepler-138,M1 V
2627,Kepler-138 d,1,Kepler-138,M1 V
2775,Kepler-1489 c,1,Kepler-1489,G
2811,Kepler-1513 b,1,Kepler-1513,G V
2812,Kepler-1513 c,1,Kepler-1513,G V
2865,Kepler-155 b,1,Kepler-155,M0 V
2904,Kepler-158 d,1,Kepler-158,K
2915,Kepler-159 b,1,Kepler-159,M0 V
2916,Kepler-159 c,1,Kepler-159,M0 V
2961,Kepler-1624 b,1,Kepler-1624,M V
3001,Kepler-1654 b,1,Kepler-1654,G5 V
3002,Kepler-1655 b,1,Kepler-1655,G0 V
3008,Kepler-1660 AB b,2,Kepler-1660 A,F7 V
3009,Kepler-1661 b,2,Kepler-1661,K
3020,Kepler-167 b,2,Kepler-167,K4
3021,Kepler-167 c,2,Kepler-167,K4
3022,Kepler-167 d,2,Kepler-167,K4
3023,Kepler-167 e,2,Kepler-167,K4
3268,Kepler-186 b,1,Kepler-186,M1 V
3269,Kepler-186 c,1,Kepler-186,M1 V
3270,Kepler-186 d,1,Kepler-186,M1 V
3271,Kepler-186 e,1,Kepler-186,M1
3474,Kepler-205 b,1,Kepler-205,M1 V
3475,Kepler-205 c,1,Kepler-205,M1 V
3488,Kepler-21 b,2,Kepler-21,F6 IV
3489,Kepler-210 b,1,Kepler-210,M0 V
3490,Kepler-210 c,1,Kepler-210,M0 V
3514,Kepler-22 b,1,Kepler-22,G5 V
3534,Kepler-225 b,1,Kepler-225,M1 V
3535,Kepler-225 c,1,Kepler-225,M1 V
3553,Kepler-231 c,1,Kepler-231,M1 V
3560,Kepler-235 b,1,Kepler-235,M0 V
3562,Kepler-235 d,1,Kepler-235,M0 V
3563,Kepler-235 e,1,Kepler-235,M0 V
3565,Kepler-236 c,1,Kepler-236,M1 V
3601,Kepler-249 b,1,Kepler-249,M2 V
3602,Kepler-249 c,1,Kepler-249,M2 V
3603,Kepler-249 d,1,Kepler-249,M2 V
3604,Kepler-25 b,2,Kepler-25,F8
3605,Kepler-25 c,2,Kepler-25,F8
3606,Kepler-25 d,2,Kepler-25,F8
3615,Kepler-252 c,1,Kepler-252,M0 V
3636,Kepler-26 b,1,Kepler-26,M0 V
3637,Kepler-26 c,1,Kepler-26,M0 V
3638,Kepler-26 d,1,Kepler-26,M0 V
3656,Kepler-267 b,1,Kepler-267,M1 V
3686,Kepler-278 b,1,Kepler-278,K2 III-IV
3687,Kepler-278 c,1,Kepler-278,K2 III-IV
3692,Kepler-28 b,1,Kepler-28,M0 V
3693,Kepler-28 c,1,Kepler-28,M0 V
3741,Kepler-296 b,2,Kepler-296,M2 V
3742,Kepler-296 c,2,Kepler-296,M2 V
3743,Kepler-296 d,2,Kepler-296,M2 V
3766,Kepler-303 b,1,Kepler-303,M0 V
3784,Kepler-309 b,1,Kepler-309,M0 V
3785,Kepler-309 c,1,Kepler-309,M0 V
3812,Kepler-32 b,1,Kepler-32,M1 V
3813,Kepler-32 c,1,Kepler-32,M1 V
3814,Kepler-32 d,1,Kepler-32,M1 V
3815,Kepler-32 e,1,Kepler-32,M1 V
3816,Kepler-32 f,1,Kepler-32,M1 V
3975,Kepler-38 b,2,Kepler-38,G4 V
3998,Kepler-39 b,1,Kepler-39,F7 V
4001,Kepler-391 b,1,Kepler-391,K2 III-IV
4002,Kepler-391 c,1,Kepler-391,K2 III-IV
4023,Kepler-40 b,1,Kepler-40,F5 IV
4042,Kepler-407 b,1,Kepler-407,G
4046,Kepler-41 b,1,Kepler-41,G6 V
4048,Kepler-411 b,2,Kepler-411,K2 V
4049,Kepler-411 c,2,Kepler-411,K2 V
4050,Kepler-411 d,2,Kepler-411,K2 V
4051,Kepler-411 e,2,Kepler-411,K2 V
4052,Kepler-412 b,1,Kepler-412,G3 V
4067,Kepler-42 b,1,Kepler-42,M4 V
4068,Kepler-42 c,1,Kepler-42,M4 V
4069,Kepler-42 d,1,Kepler-42,M
4070,Kepler-421 b,1,Kepler-421,G9/K0
4072,Kepler-423 b,1,Kepler-423,G4 V
4075,Kepler-425 b,1,Kepler-425,K1 V
4076,Kepler-426 b,1,Kepler-426,G1 V
4077,Kepler-427 b,1,Kepler-427,G2 V
4078,Kepler-428 b,1,Kepler-428,K1 V
4079,Kepler-43 b,1,Kepler-43,F8 V
4095,Kepler-44 b,1,Kepler-44,G2 IV
4100,Kepler-444 b,3,Kepler-444,K
4101,Kepler-444 c,3,Kepler-444,K
4102,Kepler-444 d,3,Kepler-444,K
4103,Kepler-444 e,3,Kepler-444,K
4104,Kepler-444 f,3,Kepler-444,K
4105,Kepler-445 b,1,Kepler-445,M4
4106,Kepler-445 c,1,Kepler-445,M4
4107,Kepler-445 d,1,Kepler-445,M4
4108,Kepler-446 b,1,Kepler-446,M4
4109,Kepler-446 c,1,Kepler-446,M4
4110,Kepler-446 d,1,Kepler-446,M4
4111,Kepler-447 b,1,Kepler-447,G8 V
4115,Kepler-45 b,1,Kepler-45,M1 V
4168,Kepler-49 b,1,Kepler-49,M1 V
4169,Kepler-49 c,1,Kepler-49,M1 V
4170,Kepler-49 d,1,Kepler-49,M1 V
4207,Kepler-52 b,1,Kepler-52,M0 V
4208,Kepler-52 c,1,Kepler-52,M0 V
4237,Kepler-539 b,1,Kepler-539,G2 V
4238,Kepler-539 c,1,Kepler-539,G2 V
4239,Kepler-54 b,1,Kepler-54,M1 V
4343,Kepler-61 b,1,Kepler-61,M0 V
4359,Kepler-62 b,1,Kepler-62,K2 V
4360,Kepler-62 c,1,Kepler-62,K2 V
4361,Kepler-62 d,1,Kepler-62,K2 V
4362,Kepler-62 e,1,Kepler-62,K2 V
4363,Kepler-62 f,1,Kepler-62,K2 V
4374,Kepler-63 b,1,Kepler-63,G5
4413,Kepler-66 b,1,Kepler-66,G0 V
4424,Kepler-67 b,1,Kepler-67,G9 V
4449,Kepler-69 b,1,Kepler-69,G4 V
4450,Kepler-69 c,1,Kepler-69,G4 V
4506,Kepler-74 b,1,Kepler-74,F8 V
4516,Kepler-75 b,1,Kepler-75,K0 V
4532,Kepler-76 b,1,Kepler-76,F
4547,Kepler-77 b,1,Kepler-77,G5 V
4560,Kepler-78 b,2,Kepler-78,G
4589,Kepler-80 b,1,Kepler-80,M0 V
4590,Kepler-80 c,1,Kepler-80,K5
4591,Kepler-80 d,1,Kepler-80,K5
4592,Kepler-80 e,1,Kepler-80,M0 V
4593,Kepler-80 f,1,Kepler-80,K5
4594,Kepler-80 g,1,Kepler-80,K5
4605,Kepler-81 b,1,Kepler-81,M0 V
4606,Kepler-81 c,1,Kepler-81,M0 V
4634,Kepler-83 b,2,Kepler-83,M0 V
4635,Kepler-83 c,2,Kepler-83,M0 V
4636,Kepler-83 d,2,Kepler-83,M0 V
4698,Kepler-879 c,1,Kepler-879,G
4738,Kepler-91 b,1,Kepler-91,K3
4777,Kepler-94 b,1,Kepler-94,M0 V
4807,Kepler-963 c,1,Kepler-963,G
4853,L 168-9 b,1,L 168-9,M0.5 V
4855,L 98-59 b,1,L 98-59,M3 V
4856,L 98-59 c,1,L 98-59,M3 V
4857,L 98-59 d,1,L 98-59,M3 V
4858,L 98-59 e,1,L 98-59,M3 V
4859,L 98-59 f,1,L 98-59,M3 V
4860,LHS 1140 b,1,LHS 1140,M4.5 V
4861,LHS 1140 c,1,LHS 1140,M4.5 V
4862,LHS 1478 b,1,LHS 1478,m3 V
4863,LHS 1678 b,2,LHS 1678,M2.0 V
4864,LHS 1678 c,2,LHS 1678,M2.0 V
4865,LHS 1678 d,2,LHS 1678,M2.0 V
4866,LHS 1815 b,1,LHS 1815,M1
4867,LHS 1903 b,1,LHS 1903,M
4868,LHS 1903 c,1,LHS 1903,M
4869,LHS 1903 d,1,LHS 1903,M
4870,LHS 1903 e,1,LHS 1903,M
4871,LHS 3154 b,1,LHS 3154,M6.5
4872,LHS 3844 b,1,LHS 3844,M4.5-M5.0
4873,LHS 475 b,1,LHS 475,M3.5 V
4874,LP 261-75 b,1,LP 261-75 A,M4.5 V
4875,LP 714-47 b,1,LP 714-47,M0.0 V
4876,LP 791-18 b,1,LP 791-18,M(6.1+/-0.7) V
4877,LP 791-18 c,1,LP 791-18,M(6.1+/-0.7) V
4878,LP 791-18 d,1,LP 791-18,M(6.1 +/- 0.7) V
4879,LP 890-9 b,1,LP 890-9,M6 V
4880,LP 890-9 c,1,LP 890-9,M6 V
4881,LSPM J2116+0234 b,1,LSPM J2116+0234,M3.0 V
4882,LTT 1445 A b,3,LTT 1445 A,M3.0
4884,LTT 3780 b,2,LTT 3780,M3.5 V
4885,LTT 3780 c,2,LTT 3780,M4 V
4886,LTT 9779 b,1,LTT 9779,G7 V
4890,MASCARA-1 b,1,MASCARA-1,A8
4891,MASCARA-4 b,2,MASCARA-4,A7 V
4895,MOA-2008-BLG-379L b,1,MOA-2008-BLG-379L,K
4920,MOA-2022-BLG-033L b,1,MOA-2022-BLG-033L,F7 V
4921,MOA-2022-BLG-091L b,1,MOA-2022-BLG-091L,G8 V
4926,MWC 758 c,1,MWC 758,A8Ve
4928,NGC 2682 Sand 1429 b,1,NGC 2682 Sand 1429,F9.5 V
4929,NGC 2682 Sand 978 b,1,NGC 2682 Sand 978,K4 III
4930,NGC 2682 YBP 1194 b,1,NGC 2682 YBP 1194,G5 V
4931,NGC 2682 YBP 1514 b,1,NGC 2682 YBP 1514,G5 V
4932,NGC 2682 YBP 401 b,1,NGC 2682 YBP 401,F9 V
4933,NGTS-1 b,1,NGTS-1,M0.5
4934,NGTS-10 b,1,NGTS-10,K5 V
4935,NGTS-11 b,1,NGTS-11,K
4936,NGTS-12 b,1,NGTS-12,G
4938,NGTS-14 A b,2,NGTS-14 A,K1 V
4939,NGTS-15 b,1,NGTS-15,G6 V
4940,NGTS-16 b,1,NGTS-16,G7 V
4941,NGTS-17 b,1,NGTS-17,G4 V
4942,NGTS-18 b,1,NGTS-18,G5 V
4943,NGTS-2 b,1,NGTS-2,F5 V
4944,NGTS-20 b,1,NGTS-20,G1 IV
4945,NGTS-21 b,1,NGTS-21,K3 V
4946,NGTS-23 b,1,NGTS-23,F9 V
4947,NGTS-24 b,1,NGTS-24,G2 IV
4948,NGTS-25 b,1,NGTS-25,K0 V
4951,NGTS-3 A b,2,NGTS-3 A,G6 V
4956,NGTS-34 b,1,NGTS-34,F8 V
4957,NGTS-35 b,1,NGTS-35,K3.5 V
4959,NGTS-5 b,1,NGTS-5,K2 V
4961,NGTS-8 b,1,NGTS-8,K0 V
4962,NGTS-9 b,1,NGTS-9,F8 V
4963,OGLE-2003-BLG-235L b,1,OGLE-2003-BLG-235L,M2-M7
4965,OGLE-2005-BLG-169L b,1,OGLE-2005-BLG-169L,K5
4970,OGLE-2007-BLG-349L AB c,2,OGLE-2007-BLG-349L A,M
4975,OGLE-2011-BLG-0251L b,1,OGLE-2011-BLG-0251L,M
4977,OGLE-2012-BLG-0026L b,1,OGLE-2012-BLG-0026L,G5 V
4978,OGLE-2012-BLG-0026L c,1,OGLE-2012-BLG-0026L,G5 V
4982,OGLE-2012-BLG-0724L b,1,OGLE-2012-BLG-0724L,M V
4984,OGLE-2012-BLG-0950L b,1,OGLE-2012-BLG-0950L,M V
4993,OGLE-2014-BLG-0319L b,1,OGLE-2014-BLG-0319L,M
4997,OGLE-2014-BLG-1760L b,1,OGLE-2014-BLG-1760L,K
5042,OGLE-2018-BLG-0740L b,1,OGLE-2018-BLG-0740L,G V
5062,OGLE-2019-BLG-0468L b,1,OGLE-2019-BLG-0468L,G
5063,OGLE-2019-BLG-0468L c,1,OGLE-2019-BLG-0468L,G
5073,OGLE-TR-111 b,1,OGLE-TR-111,K2 V
5078,OGLE-TR-56 b,1,OGLE-TR-56,F8 V
5080,Oph 11 b,1,Oph 11,M9
5081,PDS 70 b,1,PDS 70,K7
5083,PH1 b,4,PH1,F
5084,PH2 b,1,PH2,G3
5085,POTS-1 b,1,POTS-1,K5 V
5093,PZ Tel b,1,PZ Tel,G9 IV
5097,Proxima Cen b,3,Proxima Cen,M5.5 V
5098,Proxima Cen d,3,Proxima Cen,M5.5 V
5100,Qatar-10 b,1,Qatar-10,F7 V
5102,Qatar-3 b,1,Qatar-3,G0 V
5103,Qatar-4 b,1,Qatar-4,K1 V
5104,Qatar-5 b,1,Qatar-5,G2 V
5105,Qatar-6 b,2,Qatar-6,K2 V
5106,Qatar-7 b,1,Qatar-7,F4 V
5107,Qatar-8 b,1,Qatar-8,G0 V
5108,Qatar-9 b,1,Qatar-9,K5 V
5109,ROXs 12 b,2,ROXs 12,M0
5110,ROXs 42 B b,2,ROXs 42 B,M0
5111,Ross 128 b,1,Ross 128,M4
5112,Ross 176 b,1,Ross 176,K7 V
5114,Ross 508 b,1,Ross 508,M4.5 V
5115,SPECULOOS-3 b,1,SPECULOOS-3,M6.5+/-0.5
5122,TIC 139270665 b,1,TIC 139270665,G2
5123,TIC 139270665 c,1,TIC 139270665,G2
5131,TIC 172900988 b,2,TIC 172900988 Aa,F9
5139,TIC 237913194 b,1,TIC 237913194,G3
5145,TIC 257060897 b,1,TIC 257060897,F
5163,TIC 434398831 b,1,TIC 434398831,G4 V
5164,TIC 434398831 c,1,TIC 434398831,G4 V
5177,TIC 88785435 b,1,TIC 88785435,K7 V
5183,TOI-1062 b,1,TOI-1062,G9 V
5184,TOI-1062 c,1,TOI-1062,G9 V
5187,TOI-1075 b,1,TOI-1075,K9 V/M0 V
5188,TOI-1080 b,1,TOI-1080,M4.0&plusmn;1.0 V
5190,TOI-1107 b,1,TOI-1107,F6 V
5191,TOI-1117 b,1,TOI-1117,G5 V
5192,TOI-1117 c,1,TOI-1117,G5 V
5193,TOI-1117 d,1,TOI-1117,G5 V
5194,TOI-1130 b,1,TOI-1130,K6-K7
5195,TOI-1130 c,1,TOI-1130,K7
5196,TOI-1135 b,1,TOI-1135,G0
5203,TOI-1173 b,2,TOI-1173,G9
5206,TOI-1181 b,1,TOI-1181,F9 IV
5210,TOI-1201 b,2,TOI-1201,M2.0 V
5211,TOI-1203 b,1,TOI-1203,G3 V
5212,TOI-1203 c,1,TOI-1203,G3 V
5213,TOI-1203 e,1,TOI-1203,G3 V
5214,TOI-1203.01,1,TOI-1203,G3 V
5215,TOI-122 b,1,TOI-122,M3 V
5220,TOI-1227 b,1,TOI-1227,M4.5V-M5V
5222,TOI-1231 b,1,TOI-1231,M3 V
5223,TOI-1232 b,1,TOI-1232,G1 V
5224,TOI-1232 c,1,TOI-1232,G1 V
5225,TOI-1233.01,1,HD 108236,G3 V
5226,TOI-1235 b,1,TOI-1235,M0.5 V
5227,TOI-1238 b,1,TOI-1238,K7/M0
5228,TOI-1238 c,1,TOI-1238,K7/M0
5229,TOI-1243 b,1,TOI-1243,M2.0 V
5231,TOI-1246 b,1,TOI-1246,K V
5232,TOI-1246 c,1,TOI-1246,K V
5233,TOI-1246 d,1,TOI-1246,K V
5234,TOI-1246 e,1,TOI-1246,K V
5237,TOI-125 b,1,TOI-125,K0 V
5238,TOI-125 c,1,TOI-125,K0 V
5239,TOI-125 d,1,TOI-125,K0 V
5241,TOI-1260 b,1,TOI-1260,K6 V
5242,TOI-1260 c,1,TOI-1260,K6 V
5244,TOI-1266 b,1,TOI-1266,M3
5245,TOI-1266 c,1,TOI-1266,M3
5246,TOI-1266 d,1,TOI-1266,M2
5247,TOI-1268 b,1,TOI-1268,K V
5253,TOI-1278 b,1,TOI-1278,M0 V
5256,TOI-1288 b,1,TOI-1288,G V
5257,TOI-1288 c,1,TOI-1288,G V
5261,TOI-1295 b,1,TOI-1295,F
5265,TOI-132 b,1,TOI-132,G8 V
5267,TOI-1338 b,2,TOI-1338 A,F8
5268,TOI-1338 c,2,TOI-1338 A,F8
5273,TOI-1386 b,1,TOI-1386,G5V
5274,TOI-1386 c,1,TOI-1386,G5V
5276,TOI-1408 b,1,TOI-1408,F8 V
5277,TOI-1408 c,1,TOI-1408,F8 V
5281,TOI-1416 b,1,TOI-1416,G9 V
5283,TOI-1422 b,1,TOI-1422,G2 V
5284,TOI-1422 c,1,TOI-1422,G2 V
5285,TOI-1431 b,1,TOI-1431,Am C
5287,TOI-1438 b,1,TOI-1438,K0 V
5288,TOI-1438 c,1,TOI-1438,K0 V
5292,TOI-1444 b,1,TOI-1444,G
5294,TOI-1450 A b,2,TOI-1450 A,M3.0 V
5295,TOI-1450 A c,2,TOI-1450 A,M3.0 V
5297,TOI-1452 b,2,TOI-1452,M4 +/- 0.5 V
5302,TOI-1468 b,1,TOI-1468,M3.0 V
5303,TOI-1468 c,1,TOI-1468,M3.0 V
5304,TOI-1470 b,1,TOI-1470,M1.5 V
5305,TOI-1470 c,1,TOI-1470,M1.5 V
5309,TOI-150.01,1,TOI-150,F
5310,TOI-1516 b,1,TOI-1516,F8 V
5311,TOI-1518 b,1,TOI-1518,F0
5312,TOI-157 b,1,TOI-157,G9 IV
5313,TOI-159 b,2,TOI-159,F0 V
5315,TOI-163 b,1,TOI-163,F
5317,TOI-1634 b,2,TOI-1634,M2
5323,TOI-1670 b,1,TOI-1670,F7 V
5324,TOI-1670 c,1,TOI-1670,F7 V
5325,TOI-1680 b,1,TOI-1680,M4.5+/-0.5
5327,TOI-1685 b,1,TOI-1685,M2.65 V
5328,TOI-169 b,1,TOI-169,G1 V
5333,TOI-1695 b,1,TOI-1695,M1 V
5334,TOI-1696 b,1,TOI-1696,M5V
5335,TOI-1710 b,2,TOI-1710,G5 V
5341,TOI-1728 b,1,TOI-1728,M0
5347,TOI-1743 b,1,TOI-1743,M4 V
5349,TOI-1749 b,1,TOI-1749,M0 V
5350,TOI-1749 c,1,TOI-1749,M0 V
5351,TOI-1749 d,1,TOI-1749,M0 V
5354,TOI-1752 b,1,TOI-1752,M1.0&plusmn0.5 V
5355,TOI-1752 c,1,TOI-1752,M1.0&plusmn0.5 V
5359,TOI-1759 b,1,TOI-1759,M0.0 V
5366,TOI-178 b,1,TOI-178,K
5367,TOI-178 c,1,TOI-178,K
5368,TOI-178 d,1,TOI-178,K
5369,TOI-178 e,1,TOI-178,K
5370,TOI-178 f,1,TOI-178,K
5371,TOI-178 g,1,TOI-178,K
5374,TOI-1789 b,1,TOI-1789,F
5379,TOI-1801 b,2,TOI-1801,M0.5+/-0.5 V
5384,TOI-181 b,1,TOI-181,K
5396,TOI-1853 b,1,TOI-1853,K2.5 V
5399,TOI-1860 b,1,TOI-1860,G V
5401,TOI-1883 b,1,TOI-1883,M
5403,TOI-1899 b,1,TOI-1899,M0
5405,TOI-198 b,1,TOI-198,M0 V
5406,TOI-199 b,1,TOI-199,G9 V
5407,TOI-199 c,1,TOI-199,G9 V
5412,TOI-201 b,1,TOI-201,F
5413,TOI-201 c,1,TOI-201,F6 V
5414,TOI-201 d,1,TOI-201,F
5415,TOI-2010 b,1,TOI-2010,F0
5416,TOI-2015 b,1,TOI-2015,M4 +/- 0.5
5417,TOI-2015 c,1,TOI-2015,M4 +/- 0.5
5418,TOI-2018 b,1,TOI-2018,K V
5422,TOI-2046 b,1,TOI-2046,F8 V
5423,TOI-2048 b,1,TOI-2048,G V
5428,TOI-2076 b,1,TOI-2076,K
5429,TOI-2076 c,1,TOI-2076,K
5430,TOI-2076 d,1,TOI-2076,K
5431,TOI-2076 e,1,TOI-2076,K V
5432,TOI-2081 b,1,TOI-2081,M1.0
5433,TOI-2084 b,2,TOI-2084,M2+/-0.5
5437,TOI-2093 b,1,TOI-2093,K5 V
5438,TOI-2093 c,1,TOI-2093,K5 V
5439,TOI-2094 b,1,TOI-2094,M3 V
5440,TOI-2095 b,1,TOI-2095,M2.5 V
5441,TOI-2095 c,1,TOI-2095,M0.5-1.0 V
5442,TOI-2096 b,1,TOI-2096,M4
5443,TOI-2096 c,1,TOI-2096,M4
5446,TOI-2109 b,1,TOI-2109,F
5450,TOI-2134 b,1,TOI-2134,K5 V
5451,TOI-2134 c,1,TOI-2134,K5 V
5452,TOI-2136 b,1,TOI-2136,M4.5 V
5457,TOI-2152 A b,3,TOI-2152,F4 V
5463,TOI-2180 b,1,TOI-2180,G5
5467,TOI-2196 b,1,TOI-2196,G V
5468,TOI-220 b,1,TOI-220,K0 V
5470,TOI-2202 b,1,TOI-2202,K8 V
5471,TOI-2202 c,1,TOI-2202,K8 V
5476,TOI-2257 b,1,TOI-2257,M3
5477,TOI-2260 b,1,TOI-2260,G V
5478,TOI-2266 b,1,TOI-2266,M5.0+0.5-0.5
5479,TOI-2267 b,2,TOI-2267 A,M5 V
5480,TOI-2267 c,2,TOI-2267 A,M5 V
5482,TOI-2274 b,1,TOI-2274,M
5486,TOI-2322 b,1,TOI-2322,K4
5487,TOI-2322 c,1,TOI-2322,K4
5491,TOI-2345 b,1,TOI-2345,K
5492,TOI-2345 c,1,TOI-2345,K
5496,TOI-237 b,1,TOI-237,M4.5 V
5501,TOI-238 b,1,TOI-238,K2V
5502,TOI-238 c,1,TOI-238,K2V
5505,TOI-2406 b,1,TOI-2406,M4 V
5512,TOI-2431 b,1,TOI-2431,K7 V
5513,TOI-244 b,1,TOI-244,M2.5 V
5514,TOI-2443 b,1,TOI-2443,K5 V
5517,TOI-2449 b,1,TOI-2449,G
5519,TOI-2458 b,1,TOI-2458,F9-F9.5
5520,TOI-2458 c,1,TOI-2458,F9-F9.5
5528,TOI-2525 b,1,TOI-2525,K8 V
5529,TOI-2525 c,1,TOI-2525,K8 V
5537,TOI-2580 b,1,TOI-2580,F
5541,TOI-260 b,1,TOI-260,K8 V
5544,TOI-262 b,1,TOI-262,K0 V
5545,TOI-2641 b,1,TOI-2641,F9 V
5548,TOI-269 b,1,TOI-269,M2 V
5549,TOI-270 b,1,TOI-270,M3.0 V
5550,TOI-270 c,1,TOI-270,M
5551,TOI-270 d,1,TOI-270,M3 V
5554,TOI-2768 b,1,TOI-2768,M
5559,TOI-283 b,1,TOI-283,K
5561,TOI-286 b,1,TOI-286,K3 V
5562,TOI-286 c,1,TOI-286,K3 V
5565,TOI-2969 b,1,TOI-2969,K3 V
5569,TOI-2989 b,1,TOI-2989,K4 V
5576,TOI-3235 b,1,TOI-3235,M V
5577,TOI-3261 b,1,TOI-3261,K1.5+/-1
5578,TOI-3288 b,2,TOI-3288,K9 V
5580,TOI-332 b,1,TOI-332,K0 V
5591,TOI-3493 b,1,TOI-3493,G1/2 V
5596,TOI-3629 b,1,TOI-3629,M1
5600,TOI-3714 b,2,TOI-3714,M2
5604,TOI-3757 b,1,TOI-3757,M0 V
5605,TOI-3785 b,1,TOI-3785,M2 V
5612,TOI-3884 b,1,TOI-3884,M4
5619,TOI-3984 A b,2,TOI-3984 A,M4+/-0.5
5620,TOI-4010 b,1,TOI-4010,K V
5621,TOI-4010 c,1,TOI-4010,K V
5622,TOI-4010 d,1,TOI-4010,K V
5623,TOI-4010 e,1,TOI-4010,K V
5626,TOI-406 c,1,TOI-406,M3
5627,TOI-406.01,1,TOI-406,M3
5629,TOI-411 b,1,HD 22946,F7/F8V
5630,TOI-411 c,1,HD 22946,F7/F8V
5631,TOI-4127 b,1,TOI-4127,F V
5638,TOI-4184 b,1,TOI-4184,M5.5+/-0.5
5639,TOI-4201 b,1,TOI-4201,M1.0+/-0.5
5640,TOI-421 b,2,TOI-421,G9 V
5641,TOI-421 c,2,TOI-421,G9 V
5647,TOI-4311 b,1,TOI-4311,K
5648,TOI-4311 c,1,TOI-4311,K
5650,TOI-4336 A b,3,TOI-4336 A,M3.5+/-0.5
5651,TOI-4336 A c,3,TOI-4336 A,M3.5 V
5652,TOI-4342 b,1,TOI-4342,M0 V
5653,TOI-4342 c,1,TOI-4342,M0 V
5655,TOI-4364 b,1,TOI-4364,M4 V
5660,TOI-4438 b,1,TOI-4438,M3.5 V
5661,TOI-444 b,1,TOI-444,K1/2 V
5664,TOI-4465 b,1,TOI-4465,G V
5665,TOI-4479 b,1,TOI-4479,M3.0
5669,TOI-4504 b,1,TOI-4504,K1 V
5670,TOI-4504 c,1,TOI-4504,K1 V
5671,TOI-4504 d,1,TOI-4504,K1 V
5672,TOI-4507 b,1,TOI-4507,F
5673,TOI-451 b,2,TOI-451,G8 V
5674,TOI-451 c,2,TOI-451,G8 V
5675,TOI-451 d,2,TOI-451,G8 V
5678,TOI-4515 b,1,TOI-4515,G8/G9
5680,TOI-4529 b,1,TOI-4529,M1.5 V
5682,TOI-4552 b,1,TOI-4552,M4.5 V
5685,TOI-4562 b,1,TOI-4562,F7 V
5686,TOI-4562 c,1,TOI-4562,F7 V
5690,TOI-4600 b,1,TOI-4600,K V
