,pl_name,sy_snum,discoverymethod,disc_year,pl_radj,pl_bmassj
1341,TOI-5153 b,1,Transit,2022.0,1.06,3.26
1342,TOI-5181 A b,2,Transit,2025.0,1.191,1.04
1343,TOI-519 b,1,Transit,2021.0,1.059,0.525
1344,TOI-5205 b,1,Transit,2023.0,0.985,1.08
1345,TOI-521 b,1,Transit,2025.0,0.17664407,0.01667566
1346,TOI-5210 b,1,Transit,2025.0,0.957,0.258
1347,TOI-5218 b,1,Transit,2024.0,0.879,2.06715317
1348,TOI-5232 b,1,Transit,2024.0,1.14,2.34
1349,TOI-5261 b,1,Transit,2025.0,1.035,11.49
1350,TOI-5292 A b,1,Transit,2026.0,1.128,1.299
1351,TOI-5293 A b,2,Transit,2023.0,1.02,0.52
1352,TOI-530 b,1,Transit,2021.0,0.83,0.4
1353,TOI-5300 b,1,Transit,2025.0,0.88,0.6
1354,TOI-5301 b,1,Transit,2024.0,1.177,3.65
1355,TOI-532 b,1,Transit,2021.0,0.51922652,0.19350064
1356,TOI-5322 b,1,Transit,2025.0,1.482,0.579
1357,TOI-5340 b,1,Transit,2025.0,1.345,0.85
1358,TOI-5344 b,1,Transit,2023.0,0.9079999999999999,0.416
1359,TOI-5349 b,1,Transit,2026.0,0.91,0.4
1360,TOI-5350 b,1,Transit,2025.0,1.108,6.59
1361,TOI-5386 A b,2,Transit,2025.0,1.312,0.488
1362,TOI-5388.01,1,Transit,2024.0,0.08832204,0.00692197
1363,TOI-5398 b,1,Transit,2022.0,0.91890603,0.18469085
1364,TOI-5398 c,1,Transit,2023.0,0.31403391,0.03712695
1365,TOI-5422 b,1,Transit,2026.0,0.812,28.0
1366,TOI-544 b,1,Transit,2022.0,0.18003421,0.00909296
1367,TOI-5542 b,1,Transit,2022.0,1.009,1.32
1368,TOI-5573 b,1,Transit,2025.0,0.87,0.35
1369,TOI-558 b,1,Transit,2021.0,1.086,3.61
1370,TOI-559 b,1,Transit,2021.0,1.091,6.01
1371,TOI-5592 b,1,Transit,2025.0,1.53,0.899
1372,TOI-561 b,1,Transit,2020.0,0.12704088,0.0067017299999999995
1373,TOI-561 c,1,Transit,2020.0,0.259166965,0.019711895
1374,TOI-5616 b,1,Transit,2024.0,0.961,1.96332356
1375,TOI-5624 b,1,Transit,2026.0,0.20644161,0.02957571
1376,TOI-5624 c,1,Transit,2026.0,0.22071588,0.01510249
1377,TOI-5624 d,1,Transit,2026.0,0.31974361,0.01541712
1378,TOI-5624 e,1,Transit,2026.0,0.28967844,0.02800253
1379,TOI-5634 A b,2,Transit,2024.0,0.923,1.85005489
1380,TOI-564 b,1,Transit,2020.0,1.02,1.463
1381,TOI-5678 b,1,Transit,2023.0,0.43804161,0.06292704
1382,TOI-5688 A b,2,Transit,2024.0,0.92,0.39
1383,TOI-5720 b,1,Transit,2024.0,0.09724345,0.01352931
1384,TOI-5734 b,1,Transit,2026.0,0.18734977,0.0286318
1385,TOI-5786 b,2,Transit,2025.0,0.76188908,0.22968369
1386,TOI-5788 b,1,Transit,2026.0,0.13631926,0.01170443
1387,TOI-5788 c,1,Transit,2026.0,0.20269461,0.02013665
1388,TOI-5789 c,1,Transit,2026.0,0.25515255,0.01573176
1389,TOI-5795 b,1,Transit,2025.0,0.50138368,0.07444269
1390,TOI-5800 b,1,Transit,2025.0,0.22928044,0.03193547
1391,TOI-5817 b,2,Transit,2025.0,0.27477967,0.03240742
1392,TOI-5882 b,1,Transit,2025.0,1.0394999999999999,23.15
1393,TOI-5916 b,1,Transit,2026.0,1.013,0.713
1394,TOI-6008 b,1,Transit,2024.0,0.0918906,0.01258541
1395,TOI-6016 b,1,Transit,2024.0,1.22,1.17
1396,TOI-6029 b,1,Transit,2024.0,1.284,1.635
1397,TOI-6034 b,2,Transit,2024.0,1.063,0.798
1398,TOI-6038 A b,2,Transit,2025.0,0.57186288,0.24698862
1399,TOI-6041 b,1,Transit,2025.0,0.40592451,0.09092957
1400,TOI-6054.01,1,Transit,2024.0,0.23552543,0.0393294
1401,TOI-6054.02,1,Transit,2024.0,0.25158398,0.02926107
1402,TOI-6130 b,1,Transit,2024.0,1.28,1.05
1403,TOI-615 b,1,Transit,2023.0,1.693,0.435
1404,TOI-622 b,1,Transit,2023.0,0.824,0.303
1405,TOI-6255 b,1,Transit,2024.0,0.0962621,0.00453075
1406,TOI-628 b,1,Transit,2021.0,1.06,6.33
1407,TOI-6303 b,1,Transit,2025.0,1.034,7.84
1408,TOI-6324 b,1,Transit,2025.0,0.09447781,0.00368123
1409,TOI-6330 b,1,Transit,2025.0,0.972,10.0
1410,TOI-6383 A b,2,Transit,2024.0,1.008,1.04
1411,TOI-640 b,1,Transit,2021.0,1.7454999999999998,0.725
1412,TOI-6420 b,1,Transit,2025.0,1.065,8.2
1413,TOI-654.01,1,Transit,2024.0,0.21215132,0.02740472
1414,TOI-6628 b,1,Transit,2025.0,0.98,0.74
1415,TOI-663 b,1,Transit,2024.0,0.20251618,0.01400127
1416,TOI-663 c,1,Transit,2024.0,0.20162404,0.01148418
1417,TOI-663 d,1,Transit,2024.0,0.17129122,0.01636103
1418,TOI-6651 b,1,Transit,2024.0,0.45410017,0.19192746
1419,TOI-669 b,1,Transit,2023.0,0.231335255,0.031148885
1420,TOI-6692 b,1,Transit,2026.0,1.042,0.62
1421,TOI-6695 b,1,Transit,2025.0,0.85,0.21
1422,TOI-672 b,1,Transit,2023.0,0.47372729,0.16014931
1423,TOI-674 b,1,Transit,2021.0,0.46837443,0.0742539
1424,TOI-677 b,1,Transit,2020.0,1.17,1.2349999999999999
1425,TOI-6894 b,1,Transit,2025.0,0.855,0.168
1426,TOI-7041 b,1,Transit,2025.0,1.02,0.36
1427,TOI-7149 b,1,Transit,2025.0,1.18,0.705
1428,TOI-733 b,1,Transit,2023.0,0.17771464,0.01799713
1429,TOI-7510 b,1,Transit,2025.0,0.6535,0.04105
1430,TOI-7510 c,1,Transit,2025.0,0.9684999999999999,0.40764999999999996
